Odometer,Price
37.4,14.6
44.8,14.1
45.8,14
30.9,15.6
31.7,15.6
34,14.7
45.9,14.5
19.1,15.7
40.1,15.1
40.2,14.8
32.4,15.2
43.5,14.7
32.7,15.6
34.5,15.6
37.7,14.6
41.4,14.6
24.5,15.7
35.8,15
48.6,14.7
24.2,15.4
38.8,14.3
45.6,14.5
28.7,15.6
38.2,14.7
36.7,14.4
32.5,15.1
39.1,14.1
45.3,14.2
34.4,14.8
38.4,15.1
32.2,15
26.6,15.7
33.5,14.6
41.8,14.5
36.7,14.8
37.5,14.6
25.6,15.7
40.1,15
31,14.9
42.2,14.4
37.4,14.2
34.4,15.4
30.6,15.6
42.5,14.4
38.4,14.3
40.5,14.3
26,15.5
46.3,13.9
34.8,14.5
27.4,15.5
47.9,14.3
35.6,15
42.5,14.5
43.8,14.5
43.5,14.3
34.3,14.5
41.4,14.6
35,14.8
41.4,14.2
30.2,15.3
47.2,14.3
24.5,16.1
21.2,15.4
35.5,15.1
28,15
38.1,14.4
42.3,14.5
49.2,14
33.4,14.7
37.8,14.1
36,15.2
38.1,15.3
35.2,14.6
21,16.4
45.8,14.4
36.2,14.9
34.4,15
44.3,13.6
32.1,15.4
34.6,14.9
31,14.7
38.6,14.3
36.5,15.1
25.7,15.1
39.2,14.2
21.5,16.3
37.1,14.6
42.6,14.3
33,14.8
31.6,15.5
36,15
29.1,15.4
38.2,14.6
31.5,15.5
31.4,15.1
36.2,14.8
34.2,14.6
33.2,14.5
39.2,14.7
36.4,14.3
